InvoiceNumber,CreatedTime,StoreID,PosID,CustomerType,CustomerCardNo,PaymentMethod,DeliveryType,City,State,PinCode,ItemCode,ItemDescription,ItemPrice,ItemQty,TotalValue
51402977,1595688900348,STR7188,POS956,PRIME,4629185211,CARD,TAKEAWAY,,,,458,Wine glass,1644.0,2,3288.0
51402977,1595688900348,STR7188,POS956,PRIME,4629185211,CARD,TAKEAWAY,,,,283,Portable Lamps,2236.0,1,2236.0
51402977,1595688900348,STR7188,POS956,PRIME,4629185211,CARD,TAKEAWAY,,,,498,Carving knifes,1424.0,2,2848.0
51402977,1595688900348,STR7188,POS956,PRIME,4629185211,CARD,TAKEAWAY,,,,523,Oil-lamp clock,1371.0,2,2742.0
91372973,1595688901219,STR8513,POS163,PRIME,2762345282,CARD,HOME-DELIVERY,Shivapuri,Madhya Pradesh,,413,Slipcover,1896.0,1,1896.0
91372973,1595688901219,STR8513,POS163,PRIME,2762345282,CARD,HOME-DELIVERY,Shivapuri,Madhya Pradesh,,483,Teacups and saucers,1781.0,1,1781.0
91372973,1595688901219,STR8513,POS163,PRIME,2762345282,CARD,HOME-DELIVERY,Shivapuri,Madhya Pradesh,,583,Tab Top Curtains,1329.0,1,1329.0
91372973,1595688901219,STR8513,POS163,PRIME,2762345282,CARD,HOME-DELIVERY,Shivapuri,Madhya Pradesh,,558,Balloon clock,1633.0,2,3266.0
93647513,1595688902254,STR8513,POS881,NONPRIME,2599848717,CARD,TAKEAWAY,,,,258,Closet,1687.0,2,3374.0
8320594,1595688902254,STR7188,POS825,PRIME,7051101351,CASH,HOME-DELIVERY,Dehri,Bihar,,288,Hutch,1812.0,2,3624.0
8320594,1595688902254,STR7188,POS825,PRIME,7051101351,CASH,HOME-DELIVERY,Dehri,Bihar,,558,Balloon clock,1633.0,1,1633.0
8320594,1595688902254,STR7188,POS825,PRIME,7051101351,CASH,HOME-DELIVERY,Dehri,Bihar,,658,Chinois,567.0,1,567.0
4888607,1595688903258,STR2629,POS172,NONPRIME,7829975914,CASH,HOME-DELIVERY,Ratlam,Madhya Pradesh,,208,Canopy bed,508.0,1,508.0
4888607,1595688903258,STR2629,POS172,NONPRIME,7829975914,CASH,HOME-DELIVERY,Ratlam,Madhya Pradesh,,408,Confidante,1242.0,1,1242.0
99794761,1595688903258,STR6347,POS333,NONPRIME,9740604930,CARD,HOME-DELIVERY,Champdani,West Bengal,,353,Recliner,1585.0,2,3170.0
99794761,1595688903258,STR6347,POS333,NONPRIME,9740604930,CARD,HOME-DELIVERY,Champdani,West Bengal,,488,Bread knife,1077.0,2,2154.0
99794761,1595688903258,STR6347,POS333,NONPRIME,9740604930,CARD,HOME-DELIVERY,Champdani,West Bengal,,408,Confidante,1242.0,1,1242.0
89101510,1595688904763,STR6347,POS994,PRIME,6296964163,CASH,TAKEAWAY,,,,493,Boning knife,513.0,1,513.0
89101510,1595688904763,STR6347,POS994,PRIME,6296964163,CASH,TAKEAWAY,,,,468,Lunch box,1467.0,1,1467.0
89101510,1595688904763,STR6347,POS994,PRIME,6296964163,CASH,TAKEAWAY,,,,348,Navy chair,1998.0,1,1998.0
89101510,1595688904763,STR6347,POS994,PRIME,6296964163,CASH,TAKEAWAY,,,,238,Dining table,1582.0,1,1582.0
26723058,1595689028262,STR7188,POS664,PRIME,9316477281,CARD,HOME-DELIVERY,Chennai,Tamil Nadu,,653,Browning tray,375.0,1,375.0
26723058,1595689028262,STR7188,POS664,PRIME,9316477281,CARD,HOME-DELIVERY,Chennai,Tamil Nadu,,568,Pinch Pleated Curtains,1718.0,2,3436.0
26723058,1595689028262,STR7188,POS664,PRIME,9316477281,CARD,HOME-DELIVERY,Chennai,Tamil Nadu,,498,Carving knifes,1424.0,1,1424.0
96837834,1595689029002,STR6162,POS835,NONPRIME,5611417583,CARD,TAKEAWAY,,,,213,Infant bed,1755.0,1,1755.0
96837834,1595689029002,STR6162,POS835,NONPRIME,5611417583,CARD,TAKEAWAY,,,,528,Projection clock,2365.0,2,4730.0
96837834,1595689029002,STR6162,POS835,NONPRIME,5611417583,CARD,TAKEAWAY,,,,288,Hutch,1812.0,2,3624.0
96837834,1595689029002,STR6162,POS835,NONPRIME,5611417583,CARD,TAKEAWAY,,,,203,Bunk bed,1686.0,2,3372.0
78302645,1595689029506,STR8513,POS155,NONPRIME,2389018842,CASH,HOME-DELIVERY,South Dum Dum,West Bengal,,533,Rolling ball clock,1651.0,2,3302.0
78302645,1595689029506,STR8513,POS155,NONPRIME,2389018842,CASH,HOME-DELIVERY,South Dum Dum,West Bengal,,538,Grandmother clock,1301.0,1,1301.0
78302645,1595689029506,STR8513,POS155,NONPRIME,2389018842,CASH,HOME-DELIVERY,South Dum Dum,West Bengal,,278,Dining set,1940.0,1,1940.0
25760951,1595689029506,STR6347,POS994,PRIME,6296964163,CASH,TAKEAWAY,,,,418,Wing chair,1431.0,2,2862.0
25760951,1595689029506,STR6347,POS994,PRIME,6296964163,CASH,TAKEAWAY,,,,438,Lead glass,2069.0,2,4138.0
25760951,1595689029506,STR6347,POS994,PRIME,6296964163,CASH,TAKEAWAY,,,,613,Goblet Pleat Drapes,1583.0,2,3166.0
25760951,1595689029506,STR6347,POS994,PRIME,6296964163,CASH,TAKEAWAY,,,,623,Box Pleat Drapes,1683.0,1,1683.0
27080561,1595689030008,STR6347,POS622,PRIME,5697125813,CARD,HOME-DELIVERY,Shahjahanpur,Uttar Pradesh,,593,Hanging curtains,1896.0,2,3792.0
27080561,1595689030008,STR6347,POS622,PRIME,5697125813,CARD,HOME-DELIVERY,Shahjahanpur,Uttar Pradesh,,423,Quilt,1485.0,1,1485.0
27080561,1595689030008,STR6347,POS622,PRIME,5697125813,CARD,HOME-DELIVERY,Shahjahanpur,Uttar Pradesh,,318,Bofinger chair,1119.0,1,1119.0
27080561,1595689030008,STR6347,POS622,PRIME,5697125813,CARD,HOME-DELIVERY,Shahjahanpur,Uttar Pradesh,,548,Cartel clock,1500.0,2,3000.0
73534322,1595689030510,STR8513,POS311,NONPRIME,8111613552,CASH,TAKEAWAY,,,,603,Sheer Curtains,1282.0,1,1282.0
73534322,1595689030510,STR8513,POS311,NONPRIME,8111613552,CASH,TAKEAWAY,,,,238,Dining table,1582.0,1,1582.0
35248462,1595689030510,STR2629,POS285,NONPRIME,6419885098,CASH,TAKEAWAY,,,,493,Boning knife,513.0,2,1026.0
46236052,1595689032038,STR6347,POS333,NONPRIME,9740604930,CARD,HOME-DELIVERY,Tambaram,Tamil Nadu,,673,Dough scraper,980.0,1,980.0
46236052,1595689032038,STR6347,POS333,NONPRIME,9740604930,CARD,HOME-DELIVERY,Tambaram,Tamil Nadu,,563,Chiming clock,2168.0,2,4336.0
80817333,1595689032518,STR2629,POS253,NONPRIME,2461788838,CARD,HOME-DELIVERY,Nellore,Andhra Pradesh,,413,Slipcover,1896.0,2,3792.0
80817333,1595689032518,STR2629,POS253,NONPRIME,2461788838,CARD,HOME-DELIVERY,Nellore,Andhra Pradesh,,638,Baster,1214.0,2,2428.0
80817333,1595689032518,STR2629,POS253,NONPRIME,2461788838,CARD,HOME-DELIVERY,Nellore,Andhra Pradesh,,653,Browning tray,375.0,1,375.0
5724470,1595689033043,STR1955,POS837,NONPRIME,7136581152,CASH,HOME-DELIVERY,Bellary,Karnataka,,328,Dining chair,1223.0,2,2446.0
5724470,1595689033043,STR1955,POS837,NONPRIME,7136581152,CASH,HOME-DELIVERY,Bellary,Karnataka,,288,Hutch,1812.0,1,1812.0
60235848,1595689033043,STR2629,POS253,NONPRIME,2461788838,CARD,HOME-DELIVERY,Sitapur,Uttar Pradesh,,218,Sofa bed,895.0,1,895.0
60235848,1595689033043,STR2629,POS253,NONPRIME,2461788838,CARD,HOME-DELIVERY,Sitapur,Uttar Pradesh,,688,Ladle,570.0,1,570.0
60235848,1595689033043,STR2629,POS253,NONPRIME,2461788838,CARD,HOME-DELIVERY,Sitapur,Uttar Pradesh,,673,Dough scraper,980.0,1,980.0
69410935,1595689033544,STR1955,POS992,NONPRIME,1482417862,CASH,TAKEAWAY,,,,483,Teacups and saucers,1781.0,1,1781.0
69410935,1595689033544,STR1955,POS992,NONPRIME,1482417862,CASH,TAKEAWAY,,,,543,Lighthouse clock,636.0,1,636.0
69410935,1595689033544,STR1955,POS992,NONPRIME,1482417862,CASH,TAKEAWAY,,,,543,Lighthouse clock,636.0,1,636.0
93118271,1595689034047,STR2629,POS285,NONPRIME,6419885098,CASH,TAKEAWAY,,,,568,Pinch Pleated Curtains,1718.0,2,3436.0
93118271,1595689034047,STR2629,POS285,NONPRIME,6419885098,CASH,TAKEAWAY,,,,588,Sheer Curtains,801.0,2,1602.0
93118271,1595689034047,STR2629,POS285,NONPRIME,6419885098,CASH,TAKEAWAY,,,,353,Recliner,1585.0,2,3170.0
38040633,1595689034548,STR6162,POS835,NONPRIME,5611417583,CARD,TAKEAWAY,,,,348,Navy chair,1998.0,1,1998.0
38040633,1595689034548,STR6162,POS835,NONPRIME,5611417583,CARD,TAKEAWAY,,,,688,Ladle,570.0,2,1140.0
38040633,1595689034548,STR6162,POS835,NONPRIME,5611417583,CARD,TAKEAWAY,,,,673,Dough scraper,980.0,1,980.0
38040633,1595689034548,STR6162,POS835,NONPRIME,5611417583,CARD,TAKEAWAY,,,,243,Folding table,738.0,1,738.0
14327130,1595689035049,STR5494,POS353,NONPRIME,8189067868,CASH,TAKEAWAY,,,,348,Navy chair,1998.0,1,1998.0
14327130,1595689035049,STR5494,POS353,NONPRIME,8189067868,CASH,TAKEAWAY,,,,273,Bedroom set,842.0,2,1684.0
14327130,1595689035049,STR5494,POS353,NONPRIME,8189067868,CASH,TAKEAWAY,,,,403,Adjustable Air Mattress,1417.0,1,1417.0
4188358,1595689035049,STR5494,POS384,NONPRIME,6048272250,CARD,HOME-DELIVERY,Chapra,Bihar,,263,Kitchen cabinet,1050.0,2,2100.0
4188358,1595689035049,STR5494,POS384,NONPRIME,6048272250,CARD,HOME-DELIVERY,Chapra,Bihar,,423,Quilt,1485.0,2,2970.0
4188358,1595689035049,STR5494,POS384,NONPRIME,6048272250,CARD,HOME-DELIVERY,Chapra,Bihar,,588,Sheer Curtains,801.0,2,1602.0
2584449,1595689036052,STR5494,POS121,PRIME,9509332022,CARD,TAKEAWAY,,,,333,Gaming chair,1902.0,2,3804.0
80637990,1595689036554,STR1955,POS324,NONPRIME,3916555911,CASH,HOME-DELIVERY,Tiruvottiyur,Tamil Nadu,,278,Dining set,1940.0,2,3880.0
